stock,top_percent,observations,adverse_rate,baseline_rate,lift
AXISBANK,0.1,188,0.031914893617021274,0.0018806878855011715,16.969798052650557
AXISBANK,0.5,941,0.031880977683315624,0.0018806878855011715,16.95176426088366
AXISBANK,1.0,1882,0.02497343251859724,0.0018806878855011715,13.278882004358868
AXISBANK,2.0,3764,0.018065887353878853,0.0018806878855011715,9.605999747834074
AXISBANK,5.0,9411,0.012219742854106897,0.0018806878855011715,6.497485812671432
RELIANCE,0.1,188,0.06382978723404255,0.0021676991573600824,29.44586983729662
RELIANCE,0.5,941,0.03294367693942614,0.0021676991573600824,15.197531828884582
RELIANCE,1.0,1882,0.024442082890541977,0.0021676991573600824,11.275588131107916
RELIANCE,2.0,3764,0.019128586609989374,0.0021676991573600824,8.8243733199975
RELIANCE,5.0,9410,0.015409139213602551,0.0021676991573600824,7.108522952220208
INFY,0.1,176,0.03409090909090909,0.0009124966702373058,37.360036702428005
INFY,0.5,882,0.018140589569160998,0.0009124966702373058,19.8801707018211
INFY,1.0,1764,0.017573696145124718,0.0009124966702373058,19.258915367389193
INFY,2.0,3528,0.015022675736961451,0.0009124966702373058,16.463266362445598
INFY,5.0,8821,0.00861580319691645,0.0009124966702373058,9.442010560625723
TCS,0.1,175,0.011428571428571429,0.0006540147977956858,17.47448447204969
TCS,0.5,879,0.004550625711035267,0.0006540147977956858,6.957985853489637
TCS,1.0,1758,0.004550625711035267,0.0006540147977956858,6.957985853489637
TCS,2.0,3516,0.004835039817974972,0.0006540147977956858,7.39285996933274
TCS,5.0,8791,0.005118871573199863,0.0006540147977956858,7.8268436592760375
ICICIBANK,0.1,187,0.053475935828877004,0.0018566693798511473,28.80207774696229
ICICIBANK,0.5,939,0.03727369542066028,0.0018566693798511473,20.07556963299981
ICICIBANK,1.0,1879,0.022884513038850453,0.0018566693798511473,12.325572494056614
ICICIBANK,2.0,3759,0.015695663740356476,0.0018566693798511473,8.453666501256581
ICICIBANK,5.0,9398,0.00925728878484784,0.0018566693798511473,4.98596512944594
HDFCBANK,0.1,187,0.08021390374331551,0.0006809597276161089,117.79537098930481
HDFCBANK,0.5,939,0.024494142705005325,0.0006809597276161089,35.970031283280086
HDFCBANK,1.0,1879,0.016498137307078234,0.0006809597276161089,24.22777241883981
HDFCBANK,2.0,3759,0.010907156158552806,0.0006809597276161089,16.017329243149774
HDFCBANK,5.0,9398,0.006277931474781869,0.0006809597276161089,9.219240463396469
SBIN,0.1,184,0.14673913043478262,0.0027729692477167773,52.917691227771634
SBIN,0.5,921,0.05646036916395222,0.0027729692477167773,20.36097919601556
SBIN,1.0,1842,0.043973941368078175,0.0027729692477167773,15.858070335358274
SBIN,2.0,3685,0.033921302578018994,0.0027729692477167773,12.23284484887429
SBIN,5.0,9213,0.02225116682948008,0.0027729692477167773,8.024310708747084
ITC,0.1,95,0.021052631578947368,0.0007198597838334098,29.24546147978642
ITC,0.5,479,0.012526096033402923,0.0007198597838334098,17.400744304257056
ITC,1.0,958,0.008350730688935281,0.0007198597838334098,11.600496202838038
ITC,2.0,1917,0.005738132498695879,0.0007198597838334098,7.971180815434744
ITC,5.0,4792,0.004173622704507512,0.0007198597838334098,5.797827296702233
LT,0.1,89,0.0,0.0009534171592655323,0.0
LT,0.5,445,0.01348314606741573,0.0009534171592655323,14.141916721744877
LT,1.0,891,0.010101010101010102,0.0009534171592655323,10.59453357100416
LT,2.0,1783,0.008412787436904094,0.0009534171592655323,8.823826333674244
LT,5.0,4457,0.005833520305137985,0.0009534171592655323,6.118539244281962
MARUTI,0.1,175,0.03428571428571429,0.0011036397355815727,31.066038291605302
MARUTI,0.5,878,0.0193621867881549,0.0011036397355815727,17.543937721626
MARUTI,1.0,1757,0.013659647125782584,0.0011036397355815727,12.376907685898527
MARUTI,2.0,3515,0.010241820768136558,0.0011036397355815727,9.280039887961754
MARUTI,5.0,8789,0.006030265104107407,0.0011036397355815727,5.463979693454681
