test_stock,training_stocks,test_observations,roc_auc,baseline_adverse_rate,top_0_5_precision,top_0_5_lift,top_1_precision,top_1_lift,top_2_precision,top_2_lift,top_5_precision,top_5_lift
AXISBANK,9,941143,0.7987501998876552,0.005176684095828158,0.08459086078639745,16.340742301537862,0.07310593985761343,14.122155902178546,0.05525448942726596,10.673722484204715,0.03752895424697707,7.249612599930775
RELIANCE,9,941086,0.8361368285151958,0.0015163332575343805,0.03379383634431456,22.286549593500776,0.02763018065887354,18.221707214811957,0.021518516550661494,14.191152534404921,0.013303863646023718,8.773706953876578
INFY,9,882194,0.8586760928977879,0.00215145421528598,0.0746031746031746,34.67569705788884,0.055322525790726676,25.714014919612396,0.04029926883183132,18.73117659000453,0.022535083543041103,10.474349573851214
TCS,9,879185,0.8337273191705192,0.0016811023845948235,0.05506257110352673,32.75384748014489,0.03810715504493232,22.66795609484359,0.02695785702098618,16.035821058860442,0.01533246889146705,9.12048488656594
ICICIBANK,9,939852,0.7908536396944523,0.0036750467094819185,0.06639710576718451,18.067010031702342,0.05235156416258779,14.245142524996078,0.042400383039846785,11.537372553782884,0.02657899216887981,7.232286898641004
HDFCBANK,9,939848,0.8204981471793453,0.0020982116257096894,0.05320280910832092,25.356264571418457,0.04160459672270696,19.828598894849232,0.028889125345818258,13.76845166228022,0.017300817160367722,8.245506291347507
SBIN,9,921393,0.8201422917506977,0.005679444059158253,0.11962657403386887,21.063078144236297,0.09779659177249539,17.219395200274192,0.07201389265751343,12.679743282511804,0.044997720810089216,7.922909415320186
ITC,9,479257,0.8348134839404,0.0012248125744642228,0.04757929883138564,38.84618742765483,0.03380634390651085,27.601238435438958,0.02211789254042775,18.058185392244944,0.011267840747850763,9.199644894876855
LT,9,445762,0.835631284620429,0.0031092825319340815,0.118491921005386,38.10908780029067,0.08032308727843841,25.83331892598215,0.052495793606281545,16.883571392152433,0.02867013639626705,9.220820591827412
MARUTI,9,878909,0.7952692526711305,0.0024405256971995965,0.05029585798816568,20.608616432876786,0.03800204801456366,15.57125502024808,0.027875753783138012,11.422028383116105,0.018409375355558085,7.543200785257902
