stock,feature_set,roc_auc,pr_auc,top_0.5_precision,top_0.5_lift
AXISBANK,returns,0.5692670857731612,0.004299510539072578,0.019128586609989374,10.085587476223221
AXISBANK,volatility,0.6997750226389312,0.007411415631415435,0.020191285866099893,10.645897891568955
AXISBANK,volume,0.7657806948362721,0.011523661314724539,0.02975557917109458,15.688691629680564
AXISBANK,returns_volatility,0.7153724694612984,0.007767324947873251,0.020191285866099893,10.645897891568955
AXISBANK,returns_volume,0.7734504901006563,0.01222791694013082,0.031880977683315624,16.809312460372034
AXISBANK,all_features,0.7772455452117826,0.013116812333138913,0.03506907545164718,18.490243706409238
RELIANCE,returns,0.5702856472220353,0.0035343112558268754,0.012752391073326248,5.897369884617493
RELIANCE,volatility,0.7741635145594444,0.009371709958716976,0.019128586609989374,8.846054826926242
RELIANCE,volume,0.8430154710005199,0.014140410211528839,0.031880977683315624,14.743424711543737
RELIANCE,returns_volatility,0.7638639527266925,0.009203597374939499,0.020191285866099893,9.337502317311031
RELIANCE,returns_volume,0.8396267461471311,0.013268821429294883,0.02763018065887354,12.777634750004571
RELIANCE,all_features,0.8517219013515823,0.01547832498377657,0.03506907545164718,16.217767182698108
INFY,returns,0.5999124421031324,0.002559105780712739,0.009070294784580499,9.818121113476066
INFY,volatility,0.7822809970198714,0.009816420745131242,0.022675736961451247,24.545302783690165
INFY,volume,0.8302884649518525,0.01008201959437745,0.017006802721088437,18.408977087767624
INFY,returns_volatility,0.7886567174983681,0.010627229608913852,0.027210884353741496,29.454363340428195
INFY,returns_volume,0.8379130287459139,0.009536504610569046,0.01473922902494331,15.954446809398606
INFY,all_features,0.8578007271641919,0.013810081872845735,0.024943310657596373,26.99983306205918
TCS,returns,0.6004553019100737,0.0012150764324104016,0.004550625711035267,7.019020817116739
TCS,volatility,0.753806154842385,0.0031385117111620534,0.005688282138794084,8.773776021395923
TCS,volume,0.8232709454702981,0.004309538414944742,0.009101251422070534,14.038041634233478
TCS,returns_volatility,0.7594951324408002,0.0028344497848406544,0.006825938566552901,10.528531225675108
TCS,returns_volume,0.8272476488364712,0.0049588838247475245,0.010238907849829351,15.792796838512663
TCS,all_features,0.842497202784566,0.005045546953206735,0.009101251422070534,14.038041634233478
ICICIBANK,returns,0.513434521260039,0.002374010821597588,0.007454739084132056,4.015113926599962
ICICIBANK,volatility,0.6774702528607252,0.007675822869862318,0.0308839190628328,16.63404341019984
ICICIBANK,volume,0.691785820719395,0.004953916348280093,0.013844515441959531,7.456640149399928
ICICIBANK,returns_volatility,0.6833015226402143,0.007235875829431514,0.02875399361022364,15.48686800259985
ICICIBANK,returns_volume,0.7011006691225994,0.005354371149089205,0.012779552715654952,6.883052445599934
ICICIBANK,all_features,0.7264841223921572,0.010178852515768912,0.03514376996805112,18.928394225399817
HDFCBANK,returns,0.5531837428530361,0.002036781438118809,0.010649627263045794,15.639144036208734
HDFCBANK,volatility,0.7643693528004919,0.022233460632033256,0.029818956336528223,43.78960330138445
HDFCBANK,volume,0.7780978120907465,0.006119018428441617,0.013844515441959531,20.330887247071352
HDFCBANK,returns_volatility,0.7724324997870551,0.01857605264648951,0.02875399361022364,42.225688897763575
HDFCBANK,returns_volume,0.7987334435323304,0.006232580949027938,0.013844515441959531,20.330887247071352
HDFCBANK,all_features,0.8267871069835288,0.03134885205920435,0.02875399361022364,42.225688897763575
SBIN,returns,0.5699245957216084,0.006223743081836747,0.02823018458197611,10.062340782557014
SBIN,volatility,0.7584864785051104,0.02893753088697969,0.05971769815418024,21.285720886178296
SBIN,volume,0.8351817790470168,0.02110020368339024,0.0499457111834962,17.802602922985486
SBIN,returns_volatility,0.7670155074229077,0.028707976687592705,0.053203040173724216,18.96364224404976
SBIN,returns_volume,0.8269541449385892,0.021382115887293187,0.04017372421281216,14.319484959792673
SBIN,all_features,0.8368649912719288,0.035591493332199,0.05428881650380022,19.350655351071183
ITC,returns,0.5422308695042611,0.0010972065456575646,0.0041753653444676405,5.71738741425589
ITC,volatility,0.6687923767364581,0.0013180734077903773,0.0,0.0
ITC,volume,0.7505822000554832,0.010115348966873569,0.016701461377870562,22.86954965702356
ITC,returns_volatility,0.6668553888741398,0.001323994063643563,0.0,0.0
ITC,returns_volume,0.7666443441505562,0.013210859838729556,0.014613778705636743,20.010855949895614
ITC,all_features,0.7828697309664506,0.006780012952334059,0.012526096033402923,17.152162242767673
LT,returns,0.6267269249255125,0.007420452689215561,0.020224719101123594,21.46540930979133
LT,volatility,0.6891948136516954,0.0037971623222697384,0.011235955056179775,11.925227394328518
LT,volume,0.7252736508720633,0.0071270412199552855,0.008988764044943821,9.540181915462815
LT,returns_volatility,0.6914259624293418,0.006394545243329558,0.017977528089887642,19.08036383092563
LT,returns_volume,0.7387881198578523,0.006284054176112578,0.01348314606741573,14.310272873194222
LT,all_features,0.7379858392289765,0.004388711029964467,0.011235955056179775,11.925227394328518
MARUTI,returns,0.583095498239722,0.0020964614095118268,0.0056947608200455585,5.186717339218903
MARUTI,volatility,0.6745423109907772,0.0053437318050466144,0.014806378132118452,13.48546508196915
MARUTI,volume,0.7124402200770482,0.004285326716446126,0.009111617312072893,8.298747742750246
MARUTI,returns_volatility,0.6810962700019242,0.006816596763239915,0.017084282460136675,15.56015201765671
MARUTI,returns_volume,0.7201223582732368,0.005742126726929042,0.014806378132118452,13.48546508196915
MARUTI,all_features,0.7306906079573422,0.00693968998748216,0.018223234624145785,16.59749548550049
