stock,train_rows,test_rows,roc_auc,pr_auc,test_adverse_rate,top_0_5_precision,top_0_5_lift,top_1_precision,top_1_lift,top_2_precision,top_2_lift,top_5_precision,top_5_lift
AXISBANK,699324,174832,0.8150461987394759,0.01873405718673029,0.0017330923400750435,0.03775743707093822,21.786165801934885,0.02631578947368421,15.18429737710613,0.021739130434782608,12.54355000717463,0.012813179270106395,7.3932467265717525
RELIANCE,700907,175227,0.864241411277231,0.015242272747705982,0.002031650373515497,0.026255707762557076,12.923339618285361,0.0228310502283105,11.237686624595966,0.019691780821917807,9.69250471371402,0.016893048738728454,8.314938908261716
INFY,657835,164459,0.8434017139834571,0.013132360031945645,0.0008634370876631866,0.021897810218978103,25.361211061992393,0.020072992700729927,23.24777680682636,0.015506232897537246,17.958729268282237,0.009243493067380199,10.7054621575231
TCS,653033,163259,0.8671428627150085,0.006219035781787377,0.0006737760245989501,0.011029411764705883,16.369552139037435,0.007965686274509803,11.822454322638146,0.006431852986217458,9.5459807879716,0.006493506493506494,9.637485242030698
ICICIBANK,699276,174819,0.7844385834461245,0.018456921654929896,0.0015330141460596389,0.041189931350114416,26.86859182349124,0.031464530892448515,20.52461875405581,0.02116704805491991,13.807470798183,0.011556064073226544,7.538132706035042
HDFCBANK,698387,174597,0.882419583105577,0.03446004392099458,0.0006758420820518107,0.03784403669724771,55.99538368838439,0.022922636103151862,33.917148268661066,0.014322543683758236,21.192145419941838,0.007561003551380456,11.187529975087912
SBIN,686720,171681,0.8516710916947794,0.03703487532299601,0.0026560889090813775,0.05827505827505827,21.940176052018156,0.04195804195804196,15.796926757453075,0.033207107486163706,12.502257500728227,0.02411463187325256,9.079000251385686
ITC,312462,78116,0.7121551841282783,0.003994710141538494,0.0008448973321726663,0.010256410256410256,12.139238539238539,0.0076824583866837385,9.092771505063439,0.005761843790012804,6.819578628797579,0.004353393085787452,5.152570519535949
LT,330376,82594,0.7507558943298196,0.011142119211546349,0.0011502046153473618,0.03155339805825243,27.432856412876852,0.01575757575757576,13.699802232854866,0.013325257419745608,11.585119066594409,0.008234439331557278,7.159108233164651
MARUTI,652848,163213,0.7735844465081936,0.020615805372729126,0.0012070116963722253,0.028186274509803922,23.352113815069174,0.01838235294117647,15.229639444610331,0.013480392156862746,11.16840225938091,0.008088235294117648,6.701041355628546
