stock,roc_auc,pr_auc,top_0.5_precision,top_0.5_lift
AXISBANK,0.8660450781422585,0.006870138862341018,0.010884776862074327,35.44783278778228
RELIANCE,0.8835055330501425,0.009637425136468756,0.016962340491752256,39.496133799735674
INFY,0.930619080254518,0.010879046250515095,0.013059701492537313,75.13386421550781
TCS,0.8363539004345466,0.0034763444722881965,0.004735328936242178,29.950373101595233
ICICIBANK,0.9022582173178346,0.021097958698198287,0.012337766383592373,44.6385036771792
HDFCBANK,0.8154732893647707,0.016098831031330984,0.007191945021575835,36.439314283791624
SBIN,0.9300160937800244,0.025541018908704045,0.024781795511221946,54.45273374782222
ITC,0.8068885717190218,0.004413864523621481,0.0038145539906103286,27.666594870642292
LT,0.8850845856299888,0.007809799200272706,0.010793871866295265,37.57700050645733
MARUTI,0.8891664556578549,0.0060833001776021455,0.007971506105834464,31.86954097003427
