stock,model,roc_auc,pr_auc,adverse_rate,top_0_5_precision,top_0_5_lift,top_1_precision,top_1_lift,top_2_precision,top_2_lift,top_5_precision,top_5_lift
AXISBANK,Volatility,0.719464994681071,0.007859274191354822,0.0018806878855011715,0.020191285866099893,10.736117365226319,0.018597236981934114,9.888529152182135,0.01381509032943677,7.345764513049587,0.009988311550313463,5.310988403400996
AXISBANK,Volume,0.7769531370404201,0.009897379520747865,0.0018806878855011715,0.012752391073326248,6.780705704353464,0.012221041445270989,6.498176300005404,0.013283740701381509,7.063235108701525,0.010625863351397301,5.649987663192549
AXISBANK,Logistic Regression,0.7187511229894261,0.00880936968325265,0.0018806878855011715,0.018065887353878853,9.605999747834074,0.015940488841657812,8.47588213044183,0.011955366631243358,6.356911597831373,0.009244501115715651,4.915489266977517
AXISBANK,XGBoost,0.7752105205784288,0.011949129946065505,0.0018806878855011715,0.030818278427205102,16.386705452187538,0.026036131774707757,13.843940813054989,0.01753453772582359,9.323470343486013,0.01200722558707895,6.38448605940758
RELIANCE,Volatility,0.8001483652137767,0.010819584523154482,0.0021623861692292978,0.021253985122210415,9.828949807695823,0.021253985122210415,9.828949807695823,0.019925611052072262,9.214640444714833,0.01381509032943677,6.388817375002286
RELIANCE,Volume,0.8262500213078188,0.011964491141551613,0.0021623861692292978,0.01487778958554729,6.880264865387076,0.01381509032943677,6.388817375002286,0.01354941551540914,6.265955502406087,0.012114771519659936,5.602501390386619
RELIANCE,Logistic Regression,0.8255883571173943,0.010484580152827213,0.0021623861692292978,0.01381509032943677,6.388817375002286,0.01487778958554729,6.880264865387076,0.015940488841657812,7.3717123557718685,0.013071200850159405,6.044804131732931
RELIANCE,XGBoost,0.8552282754539278,0.016249585707306998,0.0021623861692292978,0.03294367693942614,15.234872201928525,0.024442082890541977,11.303292278850197,0.020722635494155154,9.583226062503428,0.015196599362380447,7.027699112502514
INFY,Volatility,0.7909136181729516,0.02186241919795994,0.0009238320326005021,0.024943310657596373,26.99983306205918,0.01870748299319728,20.249874796544386,0.012471655328798186,13.49991653102959,0.007482144881532706,8.09903166105981
INFY,Volume,0.8450300748394145,0.009014532814981607,0.0009238320326005021,0.02040816326530612,22.090772505321144,0.015306122448979591,16.56807937899086,0.011904761904761904,12.886283961437336,0.008162339870762952,8.835307266610704
INFY,Logistic Regression,0.8340324368631623,0.008882293956922166,0.0009238320326005021,0.02040816326530612,22.090772505321144,0.01473922902494331,15.954446809398606,0.011621315192743764,12.579467676641208,0.007822242376147828,8.467169463835257
INFY,XGBoost,0.8511221144142753,0.013233187169608975,0.0009238320326005021,0.024943310657596373,26.99983306205918,0.017006802721088437,18.408977087767624,0.015589569160997732,16.874895663786987,0.008502437365378075,9.203445069386149
TCS,Volatility,0.7842535120939547,0.003190978553627041,0.0006540147977956858,0.005688282138794084,8.697482316862047,0.006825938566552901,10.436978780234456,0.005972696245733789,9.13235643270515,0.004322602661813218,6.609334645610876
TCS,Volume,0.822243929764554,0.00494458487245964,0.0006540147977956858,0.011376564277588168,17.394964633724094,0.006257110352673493,9.56723054854825,0.005119453924914676,7.827734085175841,0.003071322943919918,4.696106195565623
TCS,Logistic Regression,0.7647851868786815,0.004612791021279795,0.0006540147977956858,0.011376564277588168,17.394964633724094,0.00739476678043231,11.30672701192066,0.004550625711035267,6.957985853489637,0.0038675918553065635,5.913615209230784
TCS,XGBoost,0.8448624630901677,0.003952582640962222,0.0006540147977956858,0.005688282138794084,8.697482316862047,0.005688282138794084,8.697482316862047,0.006541524459613196,10.002104664391352,0.0047776134683198725,7.305054081990969
ICICIBANK,Volatility,0.7243812537914204,0.00915301083996764,0.0018566693798511473,0.025559105431309903,13.766104891199868,0.013304949441192123,7.166030519800357,0.01303538175046555,7.020841670535128,0.009470100021281123,5.1005850174791805
ICICIBANK,Volume,0.7148861749981421,0.007010156686339752,0.0018566693798511473,0.019169329073482427,10.3245786683999,0.020755721128259713,11.179007610888558,0.01303538175046555,7.020841670535128,0.00861885507554799,4.642105465346221
ICICIBANK,Logistic Regression,0.7119444787466502,0.007487402927984118,0.0018566693798511473,0.021299254526091587,11.47175407599989,0.020223523150612027,10.892366390096543,0.014365522745411013,7.737254085895855,0.00861885507554799,4.642105465346221
ICICIBANK,XGBoost,0.7187918285619636,0.010731074172019444,0.0018566693798511473,0.03514376996805112,18.928394225399817,0.022352315061202766,12.038931273264598,0.017025804735301943,9.17007891661731,0.00978931687593105,5.272514849529041
HDFCBANK,Volatility,0.8147338064716314,0.02170327181310704,0.0006703197318721072,0.02875399361022364,42.895937927886806,0.019691325172964343,29.376018990175456,0.012769353551476457,19.049645929135156,0.00638433709299851,9.524316217229604
HDFCBANK,Volume,0.8125985282282528,0.008379542239496437,0.0006703197318721072,0.012779552715654952,19.064861301283027,0.010111761575306013,15.084982724684693,0.0074487895716946,11.112293458662174,0.005320280910832092,7.936930181024669
HDFCBANK,Logistic Regression,0.7886722028376807,0.008777564365184797,0.0006703197318721072,0.014909478168264111,22.2423381848302,0.011708355508249068,17.466822102266487,0.008778930566640064,13.09663157628042,0.005001064056182166,7.460714370163188
HDFCBANK,XGBoost,0.8298089211480111,0.04157639442094635,0.0006703197318721072,0.026624068157614485,39.71846104433964,0.017562533262373604,26.200233153399733,0.010641127959563713,15.874704940945962,0.005852309001915301,8.730623199127136
SBIN,Volatility,0.7754310317333557,0.035492484912601645,0.002805528573521671,0.048859934853420196,17.41558981596406,0.04234527687296417,15.09351117383552,0.033921302578018994,12.090877597243253,0.02257679366113101,8.047251371527198
SBIN,Volume,0.8293890127034849,0.018900960983083796,0.002805528573521671,0.051031487513572206,18.18961603000691,0.03908794788273615,13.932471852771249,0.02903663500678426,10.349791223240224,0.01953760989905568,6.963967533052383
SBIN,Logistic Regression,0.8058198628252586,0.020097204219604602,0.002805528573521671,0.05211726384364821,18.576629137028334,0.03908794788273615,13.932471852771249,0.030664857530529173,10.930153347907902,0.019211983067404754,6.84790140750151
SBIN,XGBoost,0.838536267277178,0.03483328249223026,0.002805528573521671,0.06297502714440825,22.44676020724257,0.043973941368078175,15.674030834367656,0.03283582089552239,11.70396951413147,0.023336589601649842,8.318072331145903
ITC,Volatility,0.7074297774846433,0.0022574765175680904,0.0007198597838334098,0.0041753653444676405,5.800248101419019,0.0020876826722338203,2.9001240507095094,0.004173187271778821,5.797222411225269,0.0037562604340567614,5.21804456703201
ITC,Volume,0.7800196609879184,0.006080926166532172,0.0007198597838334098,0.016701461377870562,23.200992405676075,0.011482254697286013,15.950682278902303,0.008346374543557642,11.594444822450537,0.004799666110183639,6.667501391207568
ITC,Logistic Regression,0.7598796312982229,0.005857545199433923,0.0007198597838334098,0.014613778705636743,20.300868354966564,0.012526096033402923,17.400744304257056,0.008346374543557642,11.594444822450537,0.005217028380634391,7.247284120877791
ITC,XGBoost,0.766057015654498,0.005507390648950779,0.0007198597838334098,0.014613778705636743,20.300868354966564,0.009394572025052192,13.050558228192791,0.005738132498695879,7.971180815434744,0.004590984974958264,6.377610026372456
LT,Volatility,0.6927679530422909,0.005555777181118361,0.0009422004868035849,0.008988764044943821,9.540181915462815,0.015712682379349047,16.676580621025067,0.011777902411665733,12.500420639371846,0.006057886470720216,6.429508958620469
LT,Volume,0.7341864841008763,0.00545170093146417,0.0009422004868035849,0.008988764044943821,9.540181915462815,0.007856341189674524,8.338290310512534,0.007851934941110488,8.33361375958123,0.005609154139555755,5.9532490357596926
LT,Logistic Regression,0.7586047521210147,0.005153537188457012,0.0009422004868035849,0.011235955056179775,11.925227394328518,0.007856341189674524,8.338290310512534,0.00448681996634885,4.762065005474988,0.0053847879739735245,5.715119074329305
